name,latitude,longitude
Ersan Eczanesi,40.9816625,28.7229104
Nilgün Eczanesi,41.0361304,28.9021149
Akay Eczanesi,40.9918945,28.8822240
Nurdoğan Eczanesi,41.0009334,28.8548574
Bizim Burcu Eczanesi,41.0004238,28.8525153
Altın Eczanesi,40.9848111,28.8467372
Ömer Eczanesi,41.0048303,28.8889552
Beyaz Eczanesi,41.0013566,28.8949456
Meva Eczanesi,41.0029407,28.8515788
Doku Eczanesi,41.0071354,28.8588160
Nur Eczanesi,41.0156362,28.8831833
Zeynep Eczanesi,41.0112440,28.8911047
Enes Eczanesi,41.0127578,28.8589367
Üsküp Eczanesi,40.9996818,28.9020738
Sevim Eczanesi,41.0052145,28.8897246
Damla Eczanesi,40.9979463,28.9034609
Şeyma Eczanesi,40.9959328,28.9147019
Çağatay Eczanesi,40.9702104,29.1142565
Yaşar Eczanesi,40.9715216,29.1123900
Sevgiperest Eczanesi,40.9725161,29.1120218
Vural Eczanesi,40.9692751,29.1029376
Geçit Eczanesi,40.9700478,29.1011163
Kalyoncu Eczanesi,40.9714611,29.0983185
Gülüm Eczanesi,41.0330229,28.8636181
Doruk Eczanesi,41.0091778,28.9314176
Billur Eczanesi,41.0125962,28.9315081
Esin Eczanesi,41.0135677,28.9323235
Okyanus Eczanesi,41.0140759,28.9300153
Kevser Eczanesi,41.0096021,28.9334130
Seçil Eczanesi,41.0194717,28.9301739
Kale Eczanesi,41.0205257,28.9292696
Deren Eczanesi,41.0159051,28.9364209
Işık Eczanesi,41.0708248,28.8096982
Yasemin Eczanesi,41.0773065,28.8083763
Kamer Eczanesi,40.9801634,28.7276765
Özer Eczanesi,40.9870516,28.7095346
Sakarya Eczanesi,40.9688418,29.1143728
İnan Eczanesi,40.9806466,28.7930907
Ömür Eczanesi,41.0362901,28.9088025
Okan Eczanesi,41.0505393,29.0241908
Büyük Eczanesi,41.0520743,28.9597865
Deva Eczanesi,41.1789035,28.7463811
Kerem Eczanesi,41.0904352,29.1254606
Deniz Eczanesi,40.9103829,29.0547609
Arzu Eczanesi,41.0337613,28.9656905
Derman Eczanesi,41.0632091,28.7464869
Hülyam Eczanesi,40.9811730,29.1555455
Karakaş Eczanesi,41.0433104,28.8503639
İsimsiz Eczane,41.0634485,28.6856403
Yusuf Eczanesi,41.0295092,28.8262584
Sağlık Eczanesi,41.0447458,28.8504724
Serpil Eczanesi,41.0322330,28.8596240
Aktaş Eczanesi,41.0405548,28.8439553
Melek Eczanesi,41.0316830,28.8604190
Florya Şifa Eczanesi,40.9885884,28.7959707
Altay Eczanesi,40.9881010,28.7803134
Turgut Eczanesi,40.9898520,28.7863010
Florya Eczanesi,40.9698833,28.7962638
Kosova Eczanesi,40.9954267,28.7768353
Sibel Yeşilova Eczanesi,40.9926844,28.7855022
Hayat Eczanesi,40.9881930,28.7818745
Onur Eczanesi,40.9934299,28.7909028
Yıldız Eczanesi,40.9811478,28.7945673
Oral Eczanesi,40.9834829,28.7793373
Kent Eczanesi,41.0009192,28.5407055
Akar Eczanesi,40.9727460,29.1064100
Samur Eczanesi,41.0313556,28.8503385
İrem Eczanesi,41.0641685,28.8529305
Ada Eczanesi,40.9735831,29.1201857
Barış Eczanesi,41.0543988,28.8484719
Balkan Eczanesi,41.0276600,28.8291550
Başakşehir Eczanesi,41.1037202,28.7919118
Belma Eczanesi,41.0345481,28.9763592
Bebek Eczanesi,41.0773802,29.0430724
Nursel Eczanesi,41.0725244,29.0273479
Yeni Eczanesi,41.0538118,29.0229016
İstanbul Eczanesi,41.0510086,29.0079187
Işık Eczanesi,41.0341579,28.9661779
Yasemin Eczanesi,41.0780694,28.9567409
Avşar Eczanesi,41.0106165,28.6960727
Fırat Eczanesi,41.0771203,29.0430108
Salkım Eczanesi,41.0903098,28.8109351
Cem Eczanesi,41.0759758,29.0429473
Aran Eczanesi,41.0030640,28.6975245
Sultanahmet Eczanesi,41.0068795,28.9723146
Cağaloğlu Eczanesi,41.0122547,28.9752611
Kadırga Eczanesi,41.0049082,28.9674921
Yenikapı İskele Eczanesi,41.0027138,28.9570319
Neslihan Eczanesi,41.0144697,28.9760035
Nişancı Eczanesi,41.0060085,28.9610942
Pierloti Eczanesi,41.0057612,28.9687596
Işık Eczanesi,41.0064901,28.9596919
Büyük Eczanesi,41.0142744,28.9748319
Karabiber Eczanesi,41.0047194,28.9671124
Ataman Eczanesi,41.0124997,28.9770432
Pınar Ünsoy Eczanesi,41.0139679,28.9751921
Reyhan Eczanesi,41.0049969,28.9647083
İnan Eczanesi,41.0105344,28.9592251
Dilek Sağlık Eczanesi,41.0324933,28.9036010
Sevda Eczanesi,41.0501284,28.9066340
Yeni Hayat Eczanesi,41.0468928,28.9062557
Yeşil Eczanesi,41.0428345,28.9114775
Sezer Eczanesi,41.0284964,28.8654005
Fetih Eczanesi,41.0314878,28.8984451
Sonay Eczanesi,41.0252160,28.8614993
Dilek Eczanesi,41.0275299,28.8570612
Burhan Eczanesi,41.0384664,28.8656381
Göker Eczanesi,41.0343311,28.8652100
Güler Eczanesi,41.0347680,28.8666877
Tülü Eczanesi,41.0271180,28.8650560
Miran Eczanesi,41.0314885,28.8502523
Durusüt Eczanesi,41.0545294,28.9950882
Tarhan Eczanesi,41.0580183,28.9879985
Doruk Mert Eczanesi,41.1352989,28.4644594
İnal Eczanesi,41.0513127,28.9973017
Emel Eczanesi,41.0480503,28.9957945
Zaloğlu Eczanesi,41.0038761,28.9036257
Sağlık Eczanesi,40.8276934,29.3561436
Esra Eczanesi,41.0370056,29.0627085
Yeşilçay Eczanesi,41.1381690,29.8553157
Diyar Eczanesi,41.1031545,29.0464301
Nurlu Eczanesi,41.0183520,28.6608624
Oya Eczanesi,41.0109021,29.0517825
Mehmet Cemal Eczanesi,41.0157164,29.1508205
Paşakapısı Eczanesi,41.0199719,29.0144486
Nar Eczanesi,41.0807142,28.9197544
Öğretmenler Eczanesi,41.0801435,28.9237975
Ocak Eczanesi,41.0762039,28.9385428
Çare Eczanesi,41.0701273,28.9462941
Sibel Eczanesi,41.0728156,28.9503736
Halk Eczanesi,41.0772183,28.9604692
Anıl Eczanesi,41.0847392,28.9224162
Nergis Eczanesi,41.0855865,28.9254508
Nur Eczanesi,41.0638390,28.9672480
Azim Eczanesi,40.9732516,29.1086172
Melek Eczanesi,40.9783056,28.8726889
As Eczanesi,40.9806161,28.8813541
Arzum Eczanesi,40.9769999,28.8731354
Nurcan Eczanesi,40.9882175,28.8696123
İnci Eczanesi,40.9886759,28.8726511
Bakırköy Eczanesi,40.9785141,28.8781825
Büyük Eczanesi,40.9837895,28.8723881
Şevki Eczanesi,40.9754110,28.8753960
Lokman Hekim Eczanesi,40.9783377,28.8720430
Portakal Eczanesi,40.9785058,28.8738037
Mercan Eczanesi,40.9796507,28.8708518
İstanbul Eczanesi,40.9787775,28.8717777
Sevgör Eczanesi,40.9782979,28.8718339
Humay Eczanesi,40.9888407,28.8745709
Ömür Eczanesi,40.9936168,28.8969119
Hülya Eczanesi,40.9882187,28.9033920
Çıtak Eczanesi,40.9945507,28.9015566
Doğuş Eczanesi,40.9971451,28.8956726
Gülbin Eczanesi,41.0557485,28.9976970
Sezer Eczanesi,40.9845754,28.8954008
Yaşam Eczanesi,40.9914985,28.9036380
Zafer Eczanesi,40.9957130,28.8985097
Gülay Eczanesi,40.9968934,28.8982689
Mısırlı Eczanesi,40.9998874,28.8963796
Can Eczanesi,41.0538576,28.9942530
Altın Eczanesi,41.0527177,28.9928141
Kaynak Eczanesi,41.0498716,28.9877817
Cem Eczanesi,40.9899167,28.8766539
İffet Eczanesi,40.9978400,28.8649883
Pınar Eczanesi,41.0010662,28.8571198
Selim Eczanesi,40.9857329,28.9009177
Ihlamur Eczanesi,40.9913397,28.8981076
Anıl Eczanesi,40.9959236,28.8648375
Evin Eczanesi,41.0020128,28.8600431
Saray Eczanesi,41.0014479,28.8573551
Yaşar Eczanesi,41.0443400,28.8325880
Buğday Eczanesi,41.0423903,28.8283766
Tuğba Eczanesi,40.9855858,28.9006786
Ege Eczanesi,40.9981883,28.8655588
Güneşli Eczanesi,41.0409832,28.8280211
Erzurum Eczanesi,41.0403496,28.8248092
Rumeli Eczanesi,41.0296617,28.8295131
Bozkır Eczanesi,40.9975635,28.9126781
Zeren Eczanesi,40.9877160,28.8989738
Filiz Eczanesi,41.0255748,28.8306569
Nuhoğlu Eczanesi,41.0250461,28.8370782
Akalın Eczanesi,41.0268247,28.8360688
Işık Eczanesi,41.0362473,28.8268040
Senanur Eczanesi,41.0301840,28.8695455
Esma Eczanesi,41.0308100,28.8696287
Berrak Eczanesi,41.0238360,28.8671513
Say Eczanesi,41.0051979,28.7061767
Deniz Avcılar Eczanesi,41.0035016,28.7067863
Avcılar Eczanesi,41.0382677,28.7015094
Seren Eczanesi,41.0053332,28.7063247
Mertin Eczanesi,41.0056979,28.7033539
Füsun Eczanesi,41.0033717,28.7074598
Büyük Eczanesi,41.0090854,28.7104463
Uğur Eczanesi,41.0329981,28.7064977
Güneş Eczanesi,41.0315801,28.6948830
Kardelen Eczanesi,41.0054111,28.7064152
Kemalpaşa Eczanesi,41.0025737,28.7070086
Gül Eczanesi,41.0091513,28.7107141
Aynur Eczanesi,41.0386148,28.7013490
Sema Eczanesi,41.0035120,28.7071449
İstanbul Eczanesi,41.0107412,28.7096733
Temmuz Eczanesi,41.0097593,28.7102755
Akevler Eczanesi,41.0186919,28.6759820
Avcılar Derya Eczanesi,41.0326075,28.6911897
Tepeüstü Eczanesi,41.0019199,28.7035272
Anadolu Eczanesi,41.0336025,28.7063017
Nil Eczanesi,40.9961376,28.8634342
Tuğba Eczanesi,41.0136942,28.5345486
Lokman Eczanesi,41.0509760,28.4181902
Kumburgaz Eczanesi,41.0315340,28.4528081
Ezgi Eczanesi,41.0305033,28.4526917
Aylin Eczanesi,41.0159181,28.5317773
Sağlık Eczanesi,41.0201567,28.5786061
Mavim Eczanesi,41.0143246,28.5570610
Sema Eczanesi,41.0238681,28.5821175
Altuğ Eczanesi,41.0195717,28.5934050
Şengül Eczanesi,41.0219354,28.5857916
Sahil Eczanesi,41.0247034,28.5821726
Melike Eczanesi,41.0212884,28.5792194
Latif Eczanesi,41.0143321,28.5569012
Ceylan Eczanesi,41.0210582,28.5815881
Yaşam Eczanesi,41.0193895,28.5942653
Özge Eczanesi,41.0169190,28.6037870
Gülneşe Eczanesi,41.0128125,28.6053579
Yağmur Eczanesi,41.0168139,28.6044890
Begüm Eczanesi,41.0705604,29.0134176
Sedef Eczanesi,40.9680857,29.1063347
Erim Eczanesi,40.9610594,29.0946225
Nisa Eczanesi,40.9672304,29.1145001
Fürkan Eczanesi,40.9596967,29.0942526
Fisun Eczanesi,40.9502675,29.1043513
Özcan Eczanesi,40.9411936,29.1153333
Arnavutköy Eczanesi,41.0676696,29.0430515
Candan Eczanesi,40.9525058,29.0994167
Meray Eczanesi,40.9504906,29.1035687
Pınar Eczanesi,40.9641354,29.1001921
Emre Eczanesi,40.9650665,29.0997023
Selin Eczanesi,40.9653870,29.1135970
Karaca Eczanesi,40.9668367,29.1122615
Kaya Eczanesi,40.9585487,29.0944677
Doğru Eczanesi,40.9628907,29.0964022
Tanyol Eczanesi,40.9342201,29.1210618
Nihal Eczanesi,40.9409420,29.1163913
Eliz Dora Eczanesi,41.0766686,29.0252868
Alev Eczanesi,41.0562953,29.0058455
Budak Eczanesi,40.9476233,29.1063375
Akmerkez Eczanesi,41.0770999,29.0270512
Etki Eczanesi,41.0740125,29.0339937
Eczane Jülide,40.9540628,29.0968883
Dilek Eczanesi,40.9466334,29.1066521
Pervin Eczanesi,40.9457680,29.1121730
Sağlık Eczanesi,41.0427168,29.0044733
Kerem Eczanesi,41.0740010,29.0174767
Melis Eczanesi,41.0634598,29.0104974
Meltem Eczanesi,41.0744660,29.0188740
Mina Eczanesi,41.0725922,29.0180848
Kemertaş Eczanesi,41.0559409,29.0028310
Aslan Eczanesi,41.0589478,29.0108036
Soley Eczanesi,41.0564037,29.0074616
Saba Eczanesi,41.0444618,29.0022394
Çarşı Eczanesi,41.0438732,29.0042404
Maçka,41.0453011,28.9939752
Fulya Eczanesi,41.0507974,28.9923062
Rüzgar Eczanesi,41.0467734,29.0001074
Uğur Eczanesi,41.0469265,28.9980878
Demet Eczanesi,41.0421561,29.0046781
Berin Eczanesi,41.0425827,29.0002393
Bihter Anaç Eczanesi,41.0428539,29.0099743
Çırağan Eczanesi,41.0426035,29.0090880
Sezgin Eczanesi,41.0170948,29.0243653
Tamay Eczanesi,40.9753220,29.1173740
Meltem Eczanesi,40.9761192,29.1362305
Mert Eczanesi,40.9789750,29.1089310
Umut Eczanesi,40.9753781,29.1135600
Bizim Eczanesi,40.9766500,29.1018770
Butik Eczanesi,40.9866958,29.1320300
Görkem Eczanesi,40.9749837,29.1121145
Şükrü Bey Eczanesi,40.9770165,29.1071693
İdil Eczanesi,40.9737632,29.1193396
Özsoy Eczanesi,40.9715125,29.1304606
Arık Eczanesi,40.9775579,29.1448203
Işıl Eczanesi,40.9771433,29.1148043
İsimsiz Eczane,40.9684391,29.1231465
Özge Eczanesi,40.9702316,29.1292358
Adım Eczanesi,40.9813644,29.1441168
Ahu Eczanesi,40.9753677,29.1439528
Ayla Canan Eczanesi,40.9889972,29.1631593
Barış Akşit Eczanesi,40.9783310,29.1795013
Nar Eczanesi,40.9792559,29.1083272
Onur Eczanesi,40.9428522,29.1543532
Anadolu Eczanesi,40.9362628,29.1488566
Örnek Eczanesi,40.9346119,29.1501513
Safa Eczanesi,40.9349820,29.1507891
Paşaoğlu Eczanesi,40.9408668,29.1538853
Nureddin Eczanesi,41.0177225,28.6612719
Doluca Eczanesi,41.0389845,28.8452483
Gülten Eczanesi,41.0521000,28.8433094
Lokman Eczanesi,41.0542333,28.8485787
Uğur Eczanesi,41.0542587,28.8466067
Ezgi Eczanesi,41.0479222,28.8460747
Abdullah Eczanesi,41.0435296,28.8469550
Yavuz Selim Eczanesi,41.0419699,28.8484130
Sezen Eczanesi,41.0025766,28.5414718
Corner Eczanesi,41.0071190,28.5392446
İsimsiz Eczane,41.0054279,29.1469392
Tezcan Eczanesi,41.0736935,28.8881918
Çekmeköy Park Eczanesi,41.0327621,29.1773009
Eczane İpekcan,41.0328951,29.1751775
Poyraz Eczanesi,41.0943185,29.1017150
Eczane İksir,41.0944881,29.1013965
Polen Eczanesi,40.9606358,29.0904778
İlkay Eczanesi,41.0738527,28.8884827
Harika Eczanesi,41.0076446,28.5374423
Evren Eczanesi,41.0073845,28.5377925
Nuray Ezcanesi,41.0162284,29.1295867
Yazıcı Eczanesi,40.9090944,29.1755658
Filiz Eczanesi,40.9016420,29.1597939
Müjgan Eczanesi,40.9311901,29.1281797
Yeşim Eczanesi,40.9591451,29.0931402
Erdem Eczanesi,41.0060300,28.5365494
Emin Eczanesi,41.0062304,28.5369597
Pınar Eczanesi,41.0038809,28.5333220
Kul Eczanesi,40.9400389,29.1422841
Nazan,41.0720004,28.8879609
Ayşem Eczanesi,40.9245028,29.1397140
Nuray Eczanesi,40.9967885,28.8546259
İsimsiz Eczane,40.9155687,29.2052114
Gülsen Eczanesi,41.0080114,28.8683623
Banu Eczanesi,41.0071074,28.8702465
Şule Eczanesi,41.0065936,28.8702275
Elif Eczanesi,41.0076202,28.8691487
Işık Eczanesi,41.0060447,28.8708926
Seçil Eczanesi,40.8957211,29.1844491
Şirin Eczanesi,41.0716748,28.8897108
Deniz Eczanesi,41.0394279,28.9265247
Hatipaşa Eczanesi,41.0474431,28.9320452
Nur Eczanesi,41.0382945,28.9329662
Eyüp Merkez Eczanesi,41.0477528,28.9281068
Gökhan Eczanesi,41.0390896,28.9263424
Birgül Eczanesi,41.0411392,28.9279932
Begüm Eczanesi,41.0378649,28.9326599
Ufuk Eczanesi,41.0487786,28.9307527
Eyüp Nilgün Eczanesi,41.0471876,28.9316949
Yalı Eczanesi,40.9446587,29.1187915
Türküner Eczanesi,40.9445371,29.1190051
Beril Eczanesi,40.9448078,29.1186055
İsimsiz Eczane,40.9387442,29.1444092
İsimsiz Eczane,40.9383619,29.1437421
İsimsiz Eczane,40.9380831,29.1432250
Deva Eczanesi,41.0942280,28.8649762
ECZANE ESİN,41.0112064,29.0381276
kanyon eczane,41.0783405,29.0106262
Yasemin Eczanesi,41.0113661,28.8556954
Arya Eczanesi,41.0139483,28.8571647
Kent Eczanesi,40.9991762,28.8522402
Elif Eczanesi,40.9994476,28.8509480
Barışcan Eczanesi,40.9996304,28.8508181
Bahar Eczanesi,41.0034936,28.8523426
Zeytin Eczanesi,41.0034743,28.8519652
Şahin Eczanesi,41.0070196,28.8531597
Serap Eczanesi,41.0111304,28.8555884
Merkez Eczanesi,41.0475509,29.2399806
