adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,akaryakit_dagitim_sirketi_tnm,lpg_dagitim_sirketi,lpg_dagitim_sirketi_tnm,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longitude
DİNÇ PETROL VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2004,BAĞCILAR,40168,GÜNEŞLİ,28.83336008,41.03457580
GÖRPET PETROL ÜRÜNLERİ İNŞ. VE OTOM.SAN.TİC. LTD. ŞTİ.,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2004,BAĞCILAR,40160,YILDIZTEPE,28.85689017,41.02710473
ELİSA PETROL İNŞAAT LOJİSTİK OTOMOTİV GIDA TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2004,BAĞCILAR,40171,DEMİRKAPI,28.83445194,41.04689728
" MİRAP ULUSLARARASI NAKLİYAT TUR.OTOM.AKAR.SAN. VE TİC.A.Ş.",1,Akaryakıt,10,Opet,,Bilinmiyor,1,Aktif,2015,TUZLA,40720,AYDINLI,29.33488500,40.86628940
KELKİT VADİSİ PETROL TURİZM OTO.VE İNŞ.SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2012,MALTEPE,40615,BAĞLARBAŞI,29.14617914,40.92912740
PETROL OFİSİ AŞ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1186,BEYOĞLU,40303,PİRİPAŞA,28.94792856,41.04371363
BP PETROLLERİ AŞ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2004,BAĞCILAR,40159,İNÖNÜ,28.84747155,41.02743229
FEBA LOJİSTİK HAFRİYAT İNŞAAT TAAHHÜT SANAYİ İÇ VE DIŞ TİCARET LİMİTED,2,Akaryakıt Lpg,12,Petrol Ofisi,28,Milangaz,1,Aktif,2049,ATAŞEHİR,40577,FERHATPAŞA,29.16506433,40.98135375
PETROL OFİSİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,14,Bp Gaz,1,Aktif,2016,ESENLER,40355,ORUÇREİS,28.86789576,41.07131312
ÇALLI PETROL VE PETROL ÜR.İNŞ.GIDA TUR.MADEN.NAK.SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,28.82838406,41.01163702
PETROL PETROL ÜRÜN.TAŞIT ARAÇLARI VE TİC.A.Ş.,1,Akaryakıt,15,Total,,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,28.62363627,41.02438860
OPET MARKET VE AKARYAKIT İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2,Akaryakıt Lpg,10,Opet,,Bilinmiyor,1,Aktif,1237,ÇATALCA,,,,
DERPET DERVİŞOĞLU PET.GIDA NAK.İNŞ.TİC.LTD.ŞTİ.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1708,ÜSKÜDAR,40788,BULGURLU,29.08457534,41.01853850
LİTROS PETROL ÜRÜNLERİ VE OTO SAN. VE TİC.AŞ.,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,28.90843274,41.02772258
KARABEYOĞLU PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,1,Akaryakıt,19,Sunpet,,Bilinmiyor,1,Aktif,2048,ARNAVUTKÖY,191989,YASSIÖREN,28.59967308,41.23183977
NCP AKARYAKIT İNŞAAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,,Bilinmiyor,,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40213,MURATPAŞA,28.91069202,41.05178542
KEREM PETROL ÜRÜNLERİ PAZARLAMA NAKLİYAT VE TİCARET ANONİM ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,28.91983752,41.00221520
GÜNER PETROL İNŞAATMÜTH.VE NAK.SAN.TİC.A.Ş,2,Akaryakıt Lpg,20,Full,50,Full Gaz,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,29.23593670,40.88430941
PETROL OFİSİ ANONİM ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1166,BAKIRKÖY,40196,ATAKÖY 7-8-9-10. KISIM,28.83805773,40.99171034
İSLAH PETROL ÜRÜNLERİ VE TURİZM İNŞAAT TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2048,ARNAVUTKÖY,40480,YAVUZ SELİM,28.72826561,41.20513127
ALPERENDEN PETROL LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,12,Petrol Ofisi,37,Petrol Ofisi,1,Aktif,2053,ESENYURT,181488,BARBAROS HAYRETTİN PAŞA,28.63926464,41.01685310
ANKARA BENZİN İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1449,KARTAL,40571,YALI,29.22263569,40.89673080
SAMANDIRA PETROL ANONİM ŞİRKETİ,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,2054,SANCAKTEPE,40579,ABDURRAHMANGAZİ,29.22373631,40.99167440
BOZOK PETROLCÜLÜK VE TİC.A.Ş.,2,Akaryakıt Lpg,10,Opet,33,Opet,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,29.10612673,40.98244232
FULPET PETROL ÜRÜNLERİ İNŞ.SAN.VE DIŞ TİCARET LTD.ŞTİ.,1,Akaryakıt,5,BP,,Bilinmiyor,1,Aktif,2054,SANCAKTEPE,40576,FATİH,29.22021668,40.96950037
ÇALLI PETROL VE PETROL ÜRÜNLERİ İNŞ.GIDA TUR.MAD.NAK.SAN.TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,5,BP,,Bilinmiyor,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,28.82435830,41.01542544
PIRIL PETROL SER.HİZ.NAK.VE TİC.AŞ.,1,Akaryakıt,10,Opet,,Bilinmiyor,1,Aktif,1186,BEYOĞLU,40279,İSTİKLAL,28.96729852,41.04123713
